ME3108 Systems Reliability & Introduction to Sustainable Engineering,ME3108,EESEMS
MBM000 Revision Weekend MEMBA,MBM000REV,BBMBAB
SMM522 Research Project Management Skills/QF,FM,SMU,IM/MSc,SMM522 QF/FM/IM,BBMSCB
RT1011 Foundation Module,RT1011,HARADI
RT1012 Introduction to professional practice,RT1012,HARADI
RT1013 Anatomy, oncology and management 1 (Trunk),RT1013,HARADI
RT1014 Anatomy, oncology and management 2 (Trunk),RT1014,HARADI
RT1015 Competence to Practice 1,RT1015,HARADI
RT1016 Radiotherapy Equipment,RT1016,HARADI
JOM770 Specialism Journalism,JOM770,AAJOUR
EPM738 Transport Energy and Emissions,EPM738,EESEMS
EPM600 Anatomy, Physiology & Pathology,EPM600,EESEMS
EPM602 Clinical Instrumentation & Physiological Measurement,EPM602,EESEMS
EPM606 Healthcare Technology Management,EPM606,EESEMS
EPM603 Clinical Engineering Practice,EPM603,EESEMS
EPM604 Cardiovascular Diagnostics & Therapy,EPM604,EESEMS
EPM605 Medical Imaging Modalities,EPM605,EESEMS
MA1600 Functions, Vectors & Calculus,MA1600,EESEMS
MA1608 Introduction to Probability & Stats,MA1608,EESEMS
MA1614 Finance & Investment Maths A,MA1614,EESEMS
MA1613 Ciphers & Number Theory,MA1613,EESEMS
LU3074 International Commercial Arbitration,LU3074,LLILAW
LU3098 International Economic Law,LU3098,LLILAW
LG3074 International Commercial Arbitration,LG3074,LLILAW
LG3098 International Economic Law,LG3098,LLILAW
JOM845 Online Journalism,JOM845,AAJOUR
CS1512 Database Design with SQL Server,CS1512,AACONT
JOM149 Investigative Reporting 2,JOM149,AAJOUR
CS2581 Building MVC Web Apps in Java EE with Spring and Hibernate,CS2581,AACONT
PSD313 Developing Research Skills,PSD313,SSPSYC
PSD314 Specialist Group Supervision,PSD314,SSPSYC
SMM176 International Real Estate Markets,SMM176,BBMSCB
SMM179 Real Estate Development & Planning,SMM179,BBMSCB
SMM199 Applied Valuation & Taxation,SMM199,BBMSCB
SMMxxx Careers Presentations/RE,REI,%23SPLUSE83C48,BBMSCB
SMM147 Financial Statement Analysis (MSc IAF),SMM147 IAF,BBMSCB
SMM469 Finance 1: Corporate Finance & Valuation (MSc IAF),SMM469 IAF,BBMSCB
EPM936 International Construction Contracts & Arbitration/SEMS,EPM936,EESEMS
EPM934 Leadership & Management Skills/SEMS,EPM934,EESEMS
EPM935 ICT for Construction Management/SEMS,EPM935,EESEMS
EPM931 Project Planning & Management/SEMS,EPM931,EESEMS
EPM932 Project Funding & Finance/SEMS,EPM932,EESEMS
EPM937 Organisational Behaviour & HRM/SEMS,EPM937,EESEMS
EPM938 Operations & Information Management/SEMS,EPM938,EESEMS
EPM941 Corporate Governance/SEMS,EPM941,EESEMS
EPM940 Sustainable Development and Corporate Social Responsibility/SEMS,EPM940,EESEMS
MS2103 Operations Management,MS2103,BBUGPR
EC2018 Intermediate Mathematical Methods,EC2018,SSECON
CV1407 IT Skills, Communication & CAD,CV1407,EESEMS
CV1408 Civil Engineering Practice & Surveying,CV1408,EESEMS
CV3414 Architectural Surveying & Geomatics,CV3414,EESEMS
EPM500 Industrial Control,EPM500,EESEMS
MBM315 Innovation & Entrepreneurship EMBA,MBM315,BBMBAB
LU2002 European Union Law,LU2002,LLILAW
MBM140 Mergers & Acquisitions EMBA,MBM140 EMBA,BBMBAB
MBM126 The New Strategic Landscape: Innovative Perspectives on Strategy/MEMBA,MBM126 memba,BBMBAB
JO2204 Data Journalism,JO2204,AAJOUR
MBM141 Strategic Fast Track Venturing EMBA,MBM141 EMBA,BBMBAB
EPMxxx Postgraduate Laboratory,EPMXXXPGLAB,EESEMS
JO2206 Humanitarian Communication,JO2206,AAJOUR
SMM962 Structured Products (MSc FI, WM),SMM962  FIWM,BBMSCB
LAM024 Translation for Dubbing and Voiceover,LAM024,AALANG
